algorithm,seed,total_rewards,final_regret,avg_regret,theoretical_bound,regret_ratio,efficiency,regret_compliance,learning_trend,total_purchases,stability,timestamp,cost_coeff,confidence_multiplier,softmax_temperature,performance_score
CombinatorialUCBSeller,123,1774.575,3025.124999999998,3.025125,83.1129068134555,36.39777642225658,36.97262328895556,False,0.004804882799818098,999,2.3425561599472458,2025-07-11T18:31:57.680183,1.0,0.7,2.0,23.150630322570755
CombinatorialUCBSeller,789,1755.575,3057.1249999999973,3.057125,83.1129068134555,36.782794841499474,36.477964552122515,False,-0.005699026280652499,1000,2.3156946749334555,2025-07-11T18:31:57.966548,1.0,0.7,2.0,22.707506473997217
CombinatorialUCBSeller,456,1745.525,3051.374999999997,3.051375,83.1129068134555,36.713611844291755,36.38860514082012,False,0.005089386374617502,1000,2.3871277418819656,2025-07-11T18:31:58.248621,1.0,0.7,2.0,23.200199702082926
CombinatorialUCBSeller,999,1757.8500000000001,3050.5000000000036,3.0505,83.1129068134555,36.70308399689067,36.558278827456405,False,-0.028569514686673195,1000,2.153950371906456,2025-07-11T18:31:58.533814,1.0,0.7,2.0,21.580409146914548
CombinatorialUCBSeller,42,1741.0000000000002,3068.299999999999,3.0683000000000002,83.1129068134555,36.917250492594476,36.2006944877633,False,0.021401405272996915,1000,2.3831519166880595,2025-07-11T18:31:58.813553,1.0,0.7,3.0,23.36713332987481
CombinatorialUCBSeller,123,1745.6,3054.0999999999976,3.0541,83.1129068134555,36.74639856905542,36.3689397253995,False,0.006050074016862877,999,2.391962870804177,2025-07-11T18:31:59.091245,1.0,0.7,3.0,23.232644326733716
CombinatorialUCBSeller,789,1734.0,3078.7,3.0787,83.1129068134555,37.042381478848434,36.02967149417168,False,-0.007057071638988788,1000,2.2936118597715067,2025-07-11T18:31:59.388485,1.0,0.7,3.0,22.440338889659547
CombinatorialUCBSeller,456,1725.525,3071.374999999998,3.071375,83.1129068134555,36.954248356318594,35.971669203026956,False,0.0124812462093403,1000,2.354195910960338,2025-07-11T18:31:59.674642,1.0,0.7,3.0,23.01957359661209
CombinatorialUCBSeller,999,1736.8000000000002,3071.5500000000047,3.0715500000000002,83.1129068134555,36.95635392579891,36.12049871577568,False,-0.028835908364411522,1000,2.167056911178172,2025-07-11T18:31:59.949823,1.0,0.7,3.0,21.508754798445608
CombinatorialUCBSeller,42,1722.4250000000002,3086.8750000000005,3.086875,83.1129068134555,37.14074165313941,35.81446364335767,False,0.0210380934027109,1000,2.3283531678099787,2025-07-11T18:32:00.219164,1.0,0.7,5.0,22.970199449343504
CombinatorialUCBSeller,123,1728.375,3071.3249999999957,3.071325,83.1129068134555,36.9536467650385,36.01006312894556,False,0.003724394785847033,999,2.391547109029023,2025-07-11T18:32:00.489461,1.0,0.7,5.0,23.08649937497708
CombinatorialUCBSeller,789,1720.075,3092.624999999999,3.092625,83.1129068134555,37.2099246503471,35.740332869283364,False,9.625256673517357e-05,1000,2.3124743211469667,2025-07-11T18:32:00.757544,1.0,0.7,5.0,22.553940454581465
CombinatorialUCBSeller,456,1710.125,3086.7749999999996,3.086775,83.1129068134555,37.13953847057926,35.65062853092623,False,0.01898954153369783,1000,2.322702463038259,2025-07-11T18:32:01.024917,1.0,0.7,5.0,22.86207578950799
CombinatorialUCBSeller,999,1714.4250000000002,3093.9250000000034,3.093925,83.1129068134555,37.22556602362889,35.65516237378727,False,-0.021554000528122425,1000,2.18874191567483,2025-07-11T18:32:01.293654,1.0,0.7,5.0,21.584861165508194
CombinatorialUCBSeller,42,1708.35,3100.9500000000003,3.1009499999999997,83.1129068134555,37.31008959847828,35.5218015095752,False,0.021314613911933695,1000,2.3077295109547893,2025-07-11T18:32:01.563063,1.0,0.7,10.0,22.782214782474906
CombinatorialUCBSeller,123,1706.95,3092.7499999999964,3.09275,83.1129068134555,37.21142862854723,35.5636810633998,False,-0.0009567241764198328,998,2.312447834428735,2025-07-11T18:32:01.830930,1.0,0.7,10.0,22.485007024308878
CombinatorialUCBSeller,789,1707.4250000000002,3105.2749999999974,3.1052750000000002,83.1129068134555,37.36212724420404,35.47748664990547,False,0.0010540773628900434,1000,2.285152533196057,2025-07-11T18:32:02.099657,1.0,0.7,10.0,22.3517560777059
CombinatorialUCBSeller,456,1704.9,3091.9999999999977,3.092,83.1129068134555,37.202404759346244,35.541704017177764,False,0.02274373917152309,1000,2.306548348424887,2025-07-11T18:32:02.369560,1.0,0.7,10.0,22.804488266324135
CombinatorialUCBSeller,999,1702.625,3105.7250000000017,3.1057250000000005,83.1129068134555,37.3675415657247,35.409755945386664,False,-0.015736157099301578,1000,2.158131242540461,2025-07-11T18:32:02.637578,1.0,0.7,10.0,21.444438321985434
CombinatorialUCBSeller,42,1911.0750000000003,2898.225000000001,2.898225,83.1129068134555,34.870937753446434,39.73707192314891,False,0.044910786699107655,1000,2.785459266845986,2025-07-11T18:32:02.905541,1.0,1.0,0.1,26.808031437362786
CombinatorialUCBSeller,123,1902.375,2897.325000000001,2.897325,83.1129068134555,34.86010911040523,39.6352897056066,False,0.024325967970808562,999,2.5167871630691883,2025-07-11T18:32:03.174009,1.0,1.0,0.1,25.125452543787627
CombinatorialUCBSeller,789,1931.1500000000003,2881.55,2.8815500000000003,83.1129068134555,34.670307061544065,40.12612462858688,False,0.027341358906345654,1000,2.5613894779746724,2025-07-11T18:32:03.442989,1.0,1.0,0.1,25.542506878713368
CombinatorialUCBSeller,456,1911.8250000000003,2885.0749999999994,2.8850749999999996,83.1129068134555,34.71271924678879,39.85542746357023,False,0.004783381167144934,1000,2.6523431692236166,2025-07-11T18:32:03.725031,1.0,1.0,0.1,25.57734613543795
CombinatorialUCBSeller,999,1917.0750000000003,2891.2749999999996,2.8912750000000003,83.1129068134555,34.7873165655171,39.86970582424325,False,0.0070995312930798166,999,2.369742655382163,2025-07-11T18:32:04.003072,1.0,1.0,0.1,24.202755115160272
CombinatorialUCBSeller,42,1855.025,2954.2750000000024,2.9542749999999995,83.1129068134555,35.54532157840162,38.57162164972034,False,0.032515419683561274,1000,2.717643503326537,2025-07-11T18:32:04.331913,1.0,1.0,0.3,25.927977031696035
CombinatorialUCBSeller,123,1867.775,2931.9249999999997,2.931925,83.1129068134555,35.276410276211614,38.914411317374004,False,0.009147664674656846,999,2.4577653342279517,2025-07-11T18:32:04.602622,1.0,1.0,0.3,24.383039279616384
CombinatorialUCBSeller,789,1893.625,2919.0749999999957,2.919075,83.1129068134555,35.121801317234336,39.34641677228999,False,0.007075870941530858,1000,2.4482784685885357,2025-07-11T18:32:04.871561,1.0,1.0,0.3,24.435370503457378
CombinatorialUCBSeller,456,1861.9250000000002,2934.974999999999,2.934975,83.1129068134555,35.313107344295695,38.815172298776304,False,0.003004827982038451,1000,2.5661365604309707,2025-07-11T18:32:05.140508,1.0,1.0,0.3,24.80268823159784
CombinatorialUCBSeller,999,1856.7250000000001,2951.625000000003,2.951625,83.1129068134555,35.513437240558076,38.61459752305885,False,-0.008353221957040637,1000,2.337942672549758,2025-07-11T18:32:05.409110,1.0,1.0,0.3,23.42958718127648
CombinatorialUCBSeller,42,1825.25,2984.0500000000034,2.9840500000000003,83.1129068134555,35.903569185681555,37.952508681097044,False,0.02436669884491164,1000,2.6125581660766524,2025-07-11T18:32:05.678978,1.0,1.0,0.5,25.09179415788101
CombinatorialUCBSeller,123,1838.075,2961.6249999999986,2.961625,83.1129068134555,35.633755496571425,38.29562264308186,False,0.011346720037050369,999,2.437247076112751,2025-07-11T18:32:05.948005,1.0,1.0,0.5,24.124970414119588
CombinatorialUCBSeller,789,1854.625,2958.074999999997,2.9580750000000005,83.1129068134555,35.591042515686645,38.53606083903007,False,-0.003332660068673002,1000,2.451670408934686,2025-07-11T18:32:06.217345,1.0,1.0,0.5,24.04936274070147
CombinatorialUCBSeller,456,1830.0,2966.8999999999983,2.9668999999999994,83.1129068134555,35.697223376618496,38.14963830807397,False,-0.0056489621285555685,1000,2.580484405436007,2025-07-11T18:32:06.486451,1.0,1.0,0.5,24.541930362905248
CombinatorialUCBSeller,999,1834.2500000000002,2974.0999999999995,2.9741,83.1129068134555,35.783852520948166,38.147181465575514,False,-0.013729821580288716,1000,2.2482952526076625,2025-07-11T18:32:06.756157,1.0,1.0,0.5,22.758360257253255
CombinatorialUCBSeller,42,1808.0,3001.300000000003,3.0012999999999996,83.1129068134555,36.11111817730468,37.593828623708234,False,0.02146022088486217,1000,2.4906177805552034,2025-07-11T18:32:07.025400,1.0,1.0,0.7,24.32929908004853
CombinatorialUCBSeller,123,1818.275,2981.4250000000006,2.981425,83.1129068134555,35.871985643478006,37.883096860220434,False,0.007731280431635693,999,2.36693200363985,2025-07-11T18:32:07.296738,1.0,1.0,0.7,23.59355238901781
